ea01id;ea01dtemis;ea01dtentrega;ea01vlr10
15961077;19/01/2023;02/02/2023;137.7242424
15960808;19/01/2023;03/02/2023;136.9519481
15961590;19/01/2023;03/02/2023;6441.900866
15960614;19/01/2023;02/02/2023;682.6965368
15960768;19/01/2023;03/02/2023;130.7835498
15961110;19/01/2023;02/02/2023;53.28744589
15961123;19/01/2023;02/02/2023;285.4199134
15961371;19/01/2023;03/02/2023;15.5978355
15960485;19/01/2023;03/02/2023;94.09264069
15961236;19/01/2023;02/02/2023;150.2852814
15960592;19/01/2023;02/02/2023;291.4718615
15960657;19/01/2023;02/02/2023;453.0021645
15961156;19/01/2023;03/02/2023;83.67229437
15961218;19/01/2023;03/02/2023;107.5177489
15960454;19/01/2023;03/02/2023;115.817316
15960544;19/01/2023;03/02/2023;148.574026
15961186;19/01/2023;02/02/2023;111.8675325
15960571;19/01/2023;02/02/2023;113.9
15960910;19/01/2023;02/02/2023;162.0683983
15960933;19/01/2023;02/02/2023;162.0683983
15961051;19/01/2023;02/02/2023;160.7376623
15961020;19/01/2023;03/02/2023;220.8822511
15961168;19/01/2023;02/02/2023;144.4813853
15961096;19/01/2023;02/02/2023;72.94112554
15963492;23/01/2023;07/02/2023;88.28268398
15963472;23/01/2023;07/02/2023;144.4813853
15963374;23/01/2023;07/02/2023;153.3277056
15963436;23/01/2023;07/02/2023;218.3757576
15963995;23/01/2023;07/02/2023;852.5532468
15963392;23/01/2023;07/02/2023;423.7251082
15963572;23/01/2023;07/02/2023;96.56017316
15963587;23/01/2023;07/02/2023;212.7177489
15963451;23/01/2023;07/02/2023;244.5220779
15963543;23/01/2023;07/02/2023;70.66883117
15963353;23/01/2023;07/02/2023;78.99350649
15963551;23/01/2023;07/02/2023;183.6809524
15963613;23/01/2023;07/02/2023;70.1987013
15963507;23/01/2023;07/02/2023;131.995671
15963527;23/01/2023;07/02/2023;131.4402597
15966158;24/01/2023;08/02/2023;86.37316017
15966027;24/01/2023;08/02/2023;144.4813853
15966646;24/01/2023;07/02/2023;82.03506494
15966011;24/01/2023;02/02/2023;129.7354978
15966290;24/01/2023;08/02/2023;70.27012987
15967672;24/01/2023;07/02/2023;512.4160173
15967696;24/01/2023;08/02/2023;289.3372294
15966443;24/01/2023;08/02/2023;113.252381
15966333;24/01/2023;08/02/2023;45.18917749
15965947;24/01/2023;08/02/2023;236.9796537
15967608;24/01/2023;07/02/2023;3934.997403
15965993;24/01/2023;08/02/2023;91.31038961
15967708;24/01/2023;08/02/2023;62.77402597
15965984;24/01/2023;08/02/2023;62.05108225
15967234;24/01/2023;24/01/2023;150.2307359
15966359;24/01/2023;08/02/2023;426.6398268
15965847;24/01/2023;08/02/2023;61.35238095
15965888;24/01/2023;08/02/2023;324.3632035
15966427;24/01/2023;08/02/2023;74.43419913
15966467;24/01/2023;08/02/2023;373.8805195
15966346;24/01/2023;03/02/2023;81.01558442
15966108;24/01/2023;08/02/2023;337.2987013
15965918;24/01/2023;08/02/2023;211.6406926
15965934;24/01/2023;08/02/2023;154.9463203
15966320;24/01/2023;08/02/2023;90.0047619
15967720;24/01/2023;08/02/2023;113.2138528
15967686;24/01/2023;08/02/2023;25.08051948
15972583;26/01/2023;10/02/2023;106.8800866
15973103;26/01/2023;10/02/2023;611.361039
15974626;26/01/2023;10/02/2023;238.2779221
15973588;26/01/2023;10/02/2023;207.3900433
15973976;26/01/2023;10/02/2023;6.046753247
15972897;26/01/2023;10/02/2023;113.5307359
15972929;26/01/2023;10/02/2023;113.5307359
15972961;26/01/2023;10/02/2023;73.75411255
15972988;26/01/2023;10/02/2023;113.5307359
15973020;26/01/2023;07/02/2023;203.9376623
15974566;26/01/2023;10/02/2023;173.5601732
15973480;26/01/2023;10/02/2023;162.0683983
15973443;26/01/2023;10/02/2023;85.5021645
15973631;26/01/2023;08/02/2023;111.8121212
15973049;26/01/2023;10/02/2023;1006.536797
15973460;26/01/2023;10/02/2023;72.23939394
15973553;26/01/2023;07/02/2023;192.4004329
15973617;26/01/2023;10/02/2023;49.2030303
15974609;26/01/2023;10/02/2023;232.5948052
15974523;26/01/2023;10/02/2023;75.78874459
15973534;26/01/2023;07/02/2023;72.23939394
15973503;26/01/2023;10/02/2023;481.5779221
15972755;26/01/2023;07/02/2023;675.2900433
15973423;26/01/2023;07/02/2023;186.6883117
15973235;26/01/2023;10/02/2023;357.6367965
15972633;26/01/2023;10/02/2023;357.6367965
15973571;26/01/2023;08/02/2023;137.7471861
15973149;26/01/2023;08/02/2023;137.0506494
15974586;26/01/2023;10/02/2023;729.8415584
15972825;26/01/2023;10/02/2023;220.1688312
